 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Faixa Etária 1
Período:2020
"Município";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"291640 Itapetinga";5465;5456;6178;6900;12636;13655;10187;7244;4808;2818;1448;76795
"291650 Itapicuru";3216;3137;2989;2967;6516;5205;4385;3375;2088;1343;662;35883
"291660 Itapitanga";731;740;779;785;1605;1663;1393;1107;807;442;246;10298
"291670 Itaquara";539;551;554;537;1421;1312;1116;970;719;382;246;8347
"291680 Itarantim";1333;1355;1461;1616;3135;3178;2676;2169;1502;936;482;19843
"291685 Itatim";1108;1091;1146;1248;2526;2391;1902;1414;832;569;312;14539
"291690 Itiruçu";802;817;860;942;1920;1938;1671;1454;1074;634;416;12528
"291700 Itiúba";2907;2852;2744;2912;6185;5425;4498;3611;2360;1716;906;36116
"291710 Itororó";1441;1449;1519;1555;3077;3385;2544;2097;1677;1062;582;20388
"291720 Ituaçu";1249;1256;1315;1449;3134;3139;2505;2042;1484;926;531;19030
"291730 Ituberá";2365;2299;2351;2500;5023;4643;3490;2727;1861;996;485;28740
"291733 Iuiú";814;831;860;968;2053;1836;1273;1094;698;409;180;11016
"291735 Jaborandi";484;513;533;476;1381;1363;1167;971;703;450;236;8277
"291740 Jacaraci";745;802;891;952;2181;2378;1944;1951;1468;962;576;14850
"291750 Jacobina";5629;5701;5968;6075;13164;13050;11336;8447;5702;3760;1803;80635
"291760 Jaguaquara";4281;4175;4224;4435;9139;8226;7038;5628;3998;2250;1279;54673
"291770 Jaguarari";2235;2271;2389;2684;5570;5250;4685;3715;2386;1653;908;33746
"291780 Jaguaripe";1520;1461;1438;1553;3315;2999;2660;1936;1184;624;291;18981
"291790 Jandaíra";1018;941;877;934;1918;1601;1336;948;627;333;193;10726
"291800 Jequié";10352;10472;11484;11929;24451;25550;21996;16802;12455;6681;3954;156126
"291810 Jeremoabo";3130;3083;3083;3366;6838;5946;5131;4364;2879;1871;960;40651
"291820 Jiquiriçá";1079;1071;1107;1117;2324;2471;1939;1586;1018;515;330;14557
"291830 Jitaúna";687;736;817;895;1708;1475;1278;1213;993;606;400;10808
"291835 João Dourado";2184;2181;2253;2245;4161;3784;3286;2258;1552;1019;479;25402
"291840 Juazeiro";17202;16988;18937;20834;38140;33687;29437;20857;12142;6805;3133;218162
"291845 Jucuruçu";672;655;613;617;1443;1394;1168;1027;770;448;181;8988
"291850 Jussara";1229;1227;1224;1198;2342;2193;1893;1617;1129;822;388;15262
"291855 Jussari";397;408;412;445;922;808;749;621;513;307;186;5768
"291860 Jussiape";260;314;389;389;756;704;744;814;723;519;364;5976
"291870 Lafaiete Coutinho";201;207;223;220;485;644;492;454;392;224;151;3693
"291875 Lagoa Real";993;1013;1108;1331;2892;2670;1937;1573;1128;720;405;15770
"291880 Laje";1748;1764;1815;1938;4117;3934;3341;2568;1485;856;466;24032
"291890 Lajedão";295;297;287;256;627;585;539;466;323;192;108;3975
"291900 Lajedinho";275;274;266;266;600;593;500;462;275;170;77;3758
"291905 Lajedo do Tabocal";589;603;623;664;1376;1251;1179;900;689;441;262;8577
"291910 Lamarão";606;618;619;629;1251;1247;1090;879;581;429;242;8191
"291915 Lapão";2185;2146;2223;2328;4469;4121;3515;2816;1840;1113;518;27274
"291920 Lauro de Freitas";13125;12847;14283;16292;33732;35957;32015;20973;13947;6217;2247;201635
"291930 Lençóis";1009;940;956;1008;2074;1892;1422;1110;605;326;157;11499
"291940 Licínio de Almeida";763;791;844;852;1868;1947;1582;1489;1121;697;419;12373
"291950 Livramento de Nossa Senhora";2847;2897;3114;3416;7388;7873;6433;5177;3399;2322;1196;46062
"291955 Luís Eduardo Magalhães";8257;7384;8317;10234;19024;16856;10499;5623;2663;1019;286;90162
"291960 Macajuba";946;917;849;873;1733;1577;1425;1196;874;586;356;11332
"291970 Macarani";1377;1377;1453;1462;3323;3236;2281;1916;1280;791;413;18909
"291980 Macaúbas";3187;3249;3509;4100;8690;8183;6435;5408;3636;2421;1343;50161
"291990 Macururé";623;588;622;721;1266;1115;965;766;484;398;239;7787
"291992 Madre de Deus";1352;1391;1597;1818;3640;3670;3307;2419;1352;633;253;21432
"291995 Maetinga";145;158;169;217;381;383;349;343;279;221;119;2764
"292000 Maiquinique";766;748;774;832;1686;1582;1323;1080;754;438;223;10206
"292010 Mairi";1217;1252;1245;1328;3089;2822;2362;1999;1559;1140;589;18602
"292020 Malhada";1443;1419;1390;1487;2963;2572;2084;1639;994;594;276;16861
"292030 Malhada de Pedras";514;515;529;567;1355;1339;1148;1037;646;471;238;8359
"292040 Manoel Vitorino";902;958;968;966;2077;1959;1700;1336;1083;745;393;13087
"292045 Mansidão";1126;1058;1029;1143;2463;2379;1649;1235;866;528;258;13734
"292050 Maracás";1233;1376;1525;1561;2979;2945;2526;2557;1861;1164;666;20393
"292060 Maragogipe";3068;3073;3274;3509;7351;8197;6588;4536;2736;1554;907;44793
"292070 Maraú";1788;1704;1738;1946;3717;3276;2464;1902;1181;625;276;20617
"292080 Marcionílio Souza";817;836;815;783;1794;1519;1252;1013;760;477;314;10380
"292090 Mascote";1170;1175;1116;1010;2123;1901;1614;1453;1133;666;356;13717
"292100 Mata de São João";3595;3594;3956;4227;8033;8411;6831;4266;2500;1159;554;47126
"292105 Matina";965;973;1037;999;2152;1841;1515;1189;807;516;289;12283
"292110 Medeiros Neto";1472;1534;1581;1626;3616;3366;3031;2718;1867;1246;659;22716
"292120 Miguel Calmon";1876;1932;1997;1914;4200;3994;3345;2725;1946;1254;711;25894
"292130 Milagres";779;784;826;913;1691;1560;1566;1173;777;506;318;10893
"292140 Mirangaba";1371;1372;1349;1467;3204;2911;2450;1841;1259;849;401;18474
"292145 Mirante";493;562;615;655;1290;1224;1173;868;703;567;297;8447
"292150 Monte Santo";3759;3769;3653;3801;8319;7097;6016;5268;3337;2834;1425;49278
"292160 Morpará";596;606;585;606;1341;1264;1023;1037;728;458;253;8497
"292170 Morro do Chapéu";2932;2888;2859;2745;5983;5103;4311;3635;2599;1563;822;35440
"292180 Mortugaba";711;770;816;678;1725;1879;1572;1520;1107;792;482;12052
"292190 Mucugê";660;673;716;794;1487;1405;1115;872;572;380;215;8889
"292200 Mucuri";3496;3425;3449;3580;8052;6632;5403;4092;2435;1157;530;42251
"292205 Mulungu do Morro";887;863;874;997;1898;1540;1194;1004;701;476;239;10673
"292210 Mundo Novo";2138;2114;2116;2214;4887;4277;3355;2499;1717;1043;610;26970
"292220 Muniz Ferreira";450;463;511;476;1126;1307;1154;905;548;328;175;7443
"292225 Muquém de São Francisco";1178;1092;1033;1011;2084;1760;1305;917;546;345;146;11417
"292230 Muritiba";1837;1927;2118;2296;4766;5045;4261;3289;1988;1203;680;29410
"292240 Mutuípe";1436;1445;1530;1754;3459;3799;3202;2494;1699;882;582;22282
"292250 Nazaré";1919;2023;2235;2094;4661;4770;4069;3184;1930;1040;669;28594
"292260 Nilo Peçanha";1096;1068;1034;1151;2504;2413;1818;1391;901;471;232;14079
"292265 Nordestina";969;965;964;1143;2345;1866;1592;1341;934;674;371;13164
"292270 Nova Canaã";1142;1177;1156;1180;2251;2204;2267;2111;1421;950;613;16472
"292273 Nova Fátima";422;452;469;482;1176;1087;1219;1071;710;486;247;7821
"292275 Nova Ibiá";476;476;488;522;1053;1027;877;725;515;253;142;6554
"292280 Nova Itarana";708;715;712;642;1472;1222;975;781;553;307;192;8279
"292285 Nova Redenção";612;581;588;748;1496;1561;1252;938;617;502;228;9123
"292290 Nova Soure";2122;2134;2038;2119;4485;3728;3461;2900;1868;1436;707;26998
"292300 Nova Viçosa";3715;3543;3470;3749;7780;6578;5654;4262;2866;1459;707;43783
"292303 Novo Horizonte";887;884;952;943;1973;2171;1616;1273;880;603;340;12522
"292305 Novo Triunfo";992;1027;1122;1548;2904;2549;1931;1686;875;561;248;15443
"292310 Olindina";2193;2137;2136;2421;4875;4158;3712;2815;1933;1256;668;28304
"292320 Oliveira dos Brejinhos";1459;1484;1436;1583;3718;3147;2685;2486;1710;1334;768;21810
"292330 Ouriçangas";545;541;557;583;1486;1595;1185;891;586;351;250;8570
"292335 Ourolândia";1510;1470;1424;1444;2866;2629;2306;1717;1118;743;284;17511
"292340 Palmas de Monte Alto";1343;1371;1416;1570;3749;3656;2916;2526;1769;990;490;21796
"292350 Palmeiras";736;705;687;768;1553;1330;1211;914;592;352;223;9071
"292360 Paramirim";1188;1228;1383;1583;3358;3852;3021;2466;1763;1151;702;21695
"292370 Paratinga";2635;2628;2546;2380;5717;5064;3691;3030;2212;1478;760;32141
"292380 Paripiranga";1989;2006;2059;2247;5238;4275;3784;3166;2030;1430;834;29058
"292390 Pau Brasil";873;836;822;907;1523;1362;1170;883;706;398;206;9686
"292400 Paulo Afonso";8362;8609;9523;9571;19013;18283;17299;12361;8118;5093;2284;118516
"292405 Pé de Serra";916;935;905;916;2161;1952;1869;1688;1029;768;417;13556
"292410 Pedrão";472;468;481;596;1232;1169;952;847;546;362;269;7394
"292420 Pedro Alexandre";1437;1395;1412;1615;3133;2433;2119;1561;879;496;202;16682
"292430 Piatã";1201;1212;1222;1241;2564;2385;2198;1858;1547;958;598;16984
"292440 Pilão Arcado";3146;3027;2916;2975;6023;5409;4146;3182;2219;1422;710;35175
"292450 Pindaí";949;992;1090;1159;2574;2696;2180;1863;1378;898;506;16285
"292460 Pindobaçu";1643;1637;1678;1660;3214;2798;2632;2056;1427;935;418;20098
"292465 Pintadas";679;707;713;722;1678;1555;1417;1130;839;644;310;10394
"292467 Piraí do Norte";870;843;885;843;1767;1670;1173;972;608;270;135;10036
"292470 Piripá";551;504;522;646;1605;1693;1496;1361;1005;726;366;10475
"292480 Piritiba";1893;1857;1780;1796;3919;3785;3431;2705;1859;1273;666;24964
"292490 Planaltino";674;682;723;648;1568;1548;1211;1000;670;412;234;9370
"292500 Planalto";1915;1902;1989;2154;4144;4007;3358;2821;1973;1376;787;26426
"292510 Poções";3625;3592;3699;3695;7188;6919;5782;4768;3768;2400;1443;46879
"292520 Pojuca";2764;2797;3084;3369;6870;7192;6052;4000;2309;1048;487;39972
"292525 Ponto Novo";1109;1126;1145;1236;2571;2085;1867;1496;1008;805;371;14819
"292530 Porto Seguro";13175;12350;13074;15091;26989;23251;20512;13529;7861;3562;1264;150658
"292540 Potiraguá";468;484;496;518;1102;975;884;809;615;370;195;6916
"292550 Prado";2438;2315;2220;2357;4802;4151;3625;2946;1883;1023;434;28194
"292560 Presidente Dutra";1067;1094;1156;1109;2293;2241;2175;1806;1106;752;361;15160
"292570 Presidente Jânio Quadros";709;745;783;866;1821;1854;1632;1460;1068;793;448;12179
"292575 Presidente Tancredo Neves";2404;2356;2317;2402;4920;4892;3374;2425;1691;818;405;28004
"292580 Queimadas";1871;1859;1790;1855;4160;3725;3331;2750;1910;1402;780;25433
"292590 Quijingue";2016;2012;1953;2143;4748;3869;3425;2971;2041;1597;851;27626
"292593 Quixabeira";568;555;562;673;1385;1378;1237;1004;748;581;265;8956
"292595 Rafael Jambeiro";1625;1640;1645;1835;3529;3316;2820;2351;1844;1265;763;22633
"292600 Remanso";3170;3200;3355;3391;6326;6040;5525;4275;2974;1972;942;41170
"292610 Retirolândia";1017;1047;1108;1073;2194;2484;1932;1472;991;811;366;14495
